x y z c
17.5 -11.5 -19 0
18.5 -11.5 -19 0
19.5 -11.5 -19 0
20.5 -11.5 -19 0
21.5 -11.5 -19 0
22.5 -11.5 -19 0
23.5 -11.5 -19 0
24.5 -11.5 -19 0
25.5 -11.5 -19 0
26.5 -11.5 -19 0
27.5 -11.5 -19 0
28.5 -11.5 -19 0
29.5 -11.5 -19 0
31 -11.5 -19 0
33 -11.5 -19 0
36 -11.5 -19 0
40 -11.5 -19 0
44 -11.5 -19 0
48 -11.5 -19 0
-0.25 -10.5 -19 0
0.25 -10.5 -19 0
0.75 -10.5 -19 0
1.25 -10.5 -19 0
1.75 -10.5 -19 0
2.25 -10.5 -19 0
2.75 -10.5 -19 0
3.25 -10.5 -19 0
3.75 -10.5 -19 0
4.25 -10.5 -19 0
4.75 -10.5 -19 0
5.25 -10.5 -19 0
5.75 -10.5 -19 0
6.25 -10.5 -19 0
6.75 -10.5 -19 0
7.25 -10.5 -19 0
7.75 -10.5 -19 0
8.25 -10.5 -19 0
8.75 -10.5 -19 0
9.25 -10.5 -19 0
9.75 -10.5 -19 0
10.25 -10.5 -19 0
10.75 -10.5 -19 0
11.25 -10.5 -19 0
11.75 -10.5 -19 0
12.5 -10.5 -19 0
13.5 -10.5 -19 0
14.5 -10.5 -19 0
15.5 -10.5 -19 0
16.5 -10.5 -19 0
17.5 -10.5 -19 0
18.5 -10.5 -19 0
19.5 -10.5 -19 0
20.5 -10.5 -19 0
21.5 -10.5 -19 0
22.5 -10.5 -19 0
23.5 -10.5 -19 0
24.5 -10.5 -19 0
25.5 -10.5 -19 0
26.5 -10.5 -19 0
27.5 -10.5 -19 0
28.5 -10.5 -19 0
29.5 -10.5 -19 0
31 -10.5 -19 0
33 -10.5 -19 0
36 -10.5 -19 0
40 -10.5 -19 0
44 -10.5 -19 0
48 -10.5 -19 0
-0.25 -9.5 -19 0
0.25 -9.5 -19 0
0.75 -9.5 -19 0
1.25 -9.5 -19 0
1.75 -9.5 -19 0
2.25 -9.5 -19 0
2.75 -9.5 -19 0
3.25 -9.5 -19 0
3.75 -9.5 -19 0
4.25 -9.5 -19 0
4.75 -9.5 -19 0
5.25 -9.5 -19 0
5.75 -9.5 -19 0
